protein_group_id,representative_global_sample_id,representative_sample_id,representative_source_dataset,representative_source_status,representative_protein_pdb,union_pocket_pdb,source_sample_count,unique_pocket_count,protein_residue_count,union_pocket_residue_count,source_sample_ids_file,dataset_label
protein_group_004459,PDBbind2020:1u71:accepted,1u71,PDBbind2020,accepted,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_004459/protein_group_004459_protein.pdb,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_004459/protein_group_004459_pocket_union.pdb,2,1,186,79,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_004459/source_sample_ids.txt,template
protein_group_004460,PDBbind2020:3eig:accepted,3eig,PDBbind2020,accepted,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_004460/protein_group_004460_protein.pdb,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_004460/protein_group_004460_pocket_union.pdb,2,1,186,81,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_004460/source_sample_ids.txt,template
protein_group_004461,PDBbind2020:3m93:accepted,3m93,PDBbind2020,accepted,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_004461/protein_group_004461_protein.pdb,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_004461/protein_group_004461_pocket_union.pdb,2,1,186,59,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_004461/source_sample_ids.txt,template
protein_group_004462,scPDB:1hfp_1:accepted,1hfp_1,scPDB,accepted,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_004462/protein_group_004462_protein.pdb,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_004462/protein_group_004462_pocket_union.pdb,2,1,186,37,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_004462/source_sample_ids.txt,template
protein_group_004463,scPDB:1ex7_1:accepted,1ex7_1,scPDB,accepted,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_004463/protein_group_004463_protein.pdb,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_004463/protein_group_004463_pocket_union.pdb,2,1,186,30,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_004463/source_sample_ids.txt,template
protein_group_004464,scPDB:3bqz_3:accepted_dominant_chain,3bqz_3,scPDB,accepted_dominant_chain,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_004464/protein_group_004464_protein.pdb,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_004464/protein_group_004464_pocket_union.pdb,2,2,186,27,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_004464/source_sample_ids.txt,template
protein_group_004465,scPDB:3br0_1:accepted_dominant_chain,3br0_1,scPDB,accepted_dominant_chain,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_004465/protein_group_004465_protein.pdb,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_004465/protein_group_004465_pocket_union.pdb,2,2,186,30,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_004465/source_sample_ids.txt,template
protein_group_004466,scPDB:3gi2_1:accepted,3gi2_1,scPDB,accepted,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_004466/protein_group_004466_protein.pdb,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_004466/protein_group_004466_pocket_union.pdb,2,1,186,36,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_004466/source_sample_ids.txt,template
protein_group_004467,PDBbind2020:2kmx:accepted,2kmx,PDBbind2020,accepted,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_004467/protein_group_004467_protein.pdb,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_004467/protein_group_004467_pocket_union.pdb,2,1,185,66,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_004467/source_sample_ids.txt,template
protein_group_004468,PDBbind2020:5znp:accepted,5znp,PDBbind2020,accepted,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_004468/protein_group_004468_protein.pdb,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_004468/protein_group_004468_pocket_union.pdb,2,2,185,131,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_004468/source_sample_ids.txt,template
protein_group_004469,scPDB:3iid_1:accepted,3iid_1,scPDB,accepted,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_004469/protein_group_004469_protein.pdb,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_004469/protein_group_004469_pocket_union.pdb,2,1,185,40,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_004469/source_sample_ids.txt,template
protein_group_004470,PDBbind2020:4bae:accepted_dominant_chain,4bae,PDBbind2020,accepted_dominant_chain,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_004470/protein_group_004470_protein.pdb,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_004470/protein_group_004470_pocket_union.pdb,2,1,184,78,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_004470/source_sample_ids.txt,template
protein_group_004471,scPDB:1cf4_1:accepted_dominant_chain,1cf4_1,scPDB,accepted_dominant_chain,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_004471/protein_group_004471_protein.pdb,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_004471/protein_group_004471_pocket_union.pdb,2,1,184,52,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_004471/source_sample_ids.txt,template
protein_group_004472,scPDB:3p2h_2:accepted,3p2h_2,scPDB,accepted,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_004472/protein_group_004472_protein.pdb,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_004472/protein_group_004472_pocket_union.pdb,2,2,184,41,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_004472/source_sample_ids.txt,template
protein_group_004473,PDBbind2020:3g5k:accepted_dominant_chain,3g5k,PDBbind2020,accepted_dominant_chain,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_004473/protein_group_004473_protein.pdb,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_004473/protein_group_004473_pocket_union.pdb,2,2,183,97,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_004473/source_sample_ids.txt,template
protein_group_004474,scPDB:1yhn_1:accepted,1yhn_1,scPDB,accepted,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_004474/protein_group_004474_protein.pdb,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_004474/protein_group_004474_pocket_union.pdb,2,1,183,38,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_004474/source_sample_ids.txt,template
protein_group_004475,scPDB:5fli_7:accepted,5fli_7,scPDB,accepted,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_004475/protein_group_004475_protein.pdb,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_004475/protein_group_004475_pocket_union.pdb,2,1,183,32,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_004475/source_sample_ids.txt,template
protein_group_004476,PDBbind2020:4abk:accepted,4abk,PDBbind2020,accepted,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_004476/protein_group_004476_protein.pdb,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_004476/protein_group_004476_pocket_union.pdb,2,1,182,73,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_004476/source_sample_ids.txt,template
protein_group_004477,PDBbind2020:4x8p:accepted,4x8p,PDBbind2020,accepted,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_004477/protein_group_004477_protein.pdb,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_004477/protein_group_004477_pocket_union.pdb,2,1,182,54,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_004477/source_sample_ids.txt,template
protein_group_004478,PDBbind2020:6ffn:accepted,6ffn,PDBbind2020,accepted,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_004478/protein_group_004478_protein.pdb,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_004478/protein_group_004478_pocket_union.pdb,2,1,182,71,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_004478/source_sample_ids.txt,template
protein_group_004479,scPDB:1cxz_1:accepted,1cxz_1,scPDB,accepted,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_004479/protein_group_004479_protein.pdb,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_004479/protein_group_004479_pocket_union.pdb,2,1,182,34,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_004479/source_sample_ids.txt,template
protein_group_004480,scPDB:4jqh_2:accepted,4jqh_2,scPDB,accepted,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_004480/protein_group_004480_protein.pdb,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_004480/protein_group_004480_pocket_union.pdb,2,1,182,44,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_004480/source_sample_ids.txt,template
protein_group_004481,PDBbind2020:3m6q:accepted,3m6q,PDBbind2020,accepted,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_004481/protein_group_004481_protein.pdb,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_004481/protein_group_004481_pocket_union.pdb,2,1,181,76,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_004481/source_sample_ids.txt,template
protein_group_004482,scPDB:1m4d_2:accepted,1m4d_2,scPDB,accepted,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_004482/protein_group_004482_protein.pdb,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_004482/protein_group_004482_pocket_union.pdb,2,1,181,29,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_004482/source_sample_ids.txt,template
protein_group_004483,PDBbind2020:3m6r:accepted_dominant_chain,3m6r,PDBbind2020,accepted_dominant_chain,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_004483/protein_group_004483_protein.pdb,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_004483/protein_group_004483_pocket_union.pdb,2,1,180,75,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_004483/source_sample_ids.txt,template
protein_group_004484,PDBbind2020:3pgl:accepted,3pgl,PDBbind2020,accepted,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_004484/protein_group_004484_protein.pdb,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_004484/protein_group_004484_pocket_union.pdb,2,1,180,59,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_004484/source_sample_ids.txt,template
protein_group_004485,PDBbind2020:4iaw:accepted,4iaw,PDBbind2020,accepted,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_004485/protein_group_004485_protein.pdb,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_004485/protein_group_004485_pocket_union.pdb,2,1,180,87,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_004485/source_sample_ids.txt,template
protein_group_004486,scPDB:2ywl_1:accepted_dominant_chain,2ywl_1,scPDB,accepted_dominant_chain,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_004486/protein_group_004486_protein.pdb,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_004486/protein_group_004486_pocket_union.pdb,2,1,180,50,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_004486/source_sample_ids.txt,template
protein_group_004487,scPDB:3ref_2:accepted_dominant_chain,3ref_2,scPDB,accepted_dominant_chain,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_004487/protein_group_004487_protein.pdb,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_004487/protein_group_004487_pocket_union.pdb,2,1,180,34,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_004487/source_sample_ids.txt,template
protein_group_004488,PDBbind2020:5vjp:accepted_dominant_chain,5vjp,PDBbind2020,accepted_dominant_chain,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_004488/protein_group_004488_protein.pdb,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_004488/protein_group_004488_pocket_union.pdb,2,1,179,71,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_004488/source_sample_ids.txt,template
protein_group_004489,scPDB:1gwn_1:accepted,1gwn_1,scPDB,accepted,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_004489/protein_group_004489_protein.pdb,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_004489/protein_group_004489_pocket_union.pdb,2,1,179,35,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_004489/source_sample_ids.txt,template
protein_group_004490,scPDB:1s1c_2:accepted,1s1c_2,scPDB,accepted,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_004490/protein_group_004490_protein.pdb,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_004490/protein_group_004490_pocket_union.pdb,2,1,179,34,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_004490/source_sample_ids.txt,template
protein_group_004491,scPDB:2ql6_18:accepted_dominant_chain,2ql6_18,scPDB,accepted_dominant_chain,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_004491/protein_group_004491_protein.pdb,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_004491/protein_group_004491_pocket_union.pdb,2,2,179,43,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_004491/source_sample_ids.txt,template
protein_group_004492,scPDB:3s6a_1:accepted,3s6a_1,scPDB,accepted,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_004492/protein_group_004492_protein.pdb,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_004492/protein_group_004492_pocket_union.pdb,2,1,178,35,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_004492/source_sample_ids.txt,template
protein_group_004493,scPDB:3sbe_1:accepted,3sbe_1,scPDB,accepted,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_004493/protein_group_004493_protein.pdb,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_004493/protein_group_004493_pocket_union.pdb,2,1,178,35,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_004493/source_sample_ids.txt,template
protein_group_004494,PDBbind2020:4uxh:accepted_dominant_chain,4uxh,PDBbind2020,accepted_dominant_chain,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_004494/protein_group_004494_protein.pdb,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_004494/protein_group_004494_pocket_union.pdb,2,1,177,103,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_004494/source_sample_ids.txt,template
protein_group_004495,scPDB:4xoi_2:accepted_dominant_chain,4xoi_2,scPDB,accepted_dominant_chain,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_004495/protein_group_004495_protein.pdb,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_004495/protein_group_004495_pocket_union.pdb,2,1,177,35,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_004495/source_sample_ids.txt,template
protein_group_004496,scPDB:4j16_3:accepted_dominant_chain,4j16_3,scPDB,accepted_dominant_chain,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_004496/protein_group_004496_protein.pdb,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_004496/protein_group_004496_pocket_union.pdb,2,1,177,44,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_004496/source_sample_ids.txt,template
protein_group_004497,PDBbind2020:1fzq:accepted,1fzq,PDBbind2020,accepted,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_004497/protein_group_004497_protein.pdb,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_004497/protein_group_004497_pocket_union.pdb,2,2,176,63,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_004497/source_sample_ids.txt,template
protein_group_004498,scPDB:1v0c_1:accepted,1v0c_1,scPDB,accepted,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_004498/protein_group_004498_protein.pdb,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_004498/protein_group_004498_pocket_union.pdb,2,1,176,37,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_004498/source_sample_ids.txt,template
protein_group_004499,PDBbind2020:3cph:accepted,3cph,PDBbind2020,accepted,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_004499/protein_group_004499_protein.pdb,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_004499/protein_group_004499_pocket_union.pdb,2,1,175,72,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_004499/source_sample_ids.txt,template
protein_group_004500,PDBbind2020:6pya:accepted,6pya,PDBbind2020,accepted,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_004500/protein_group_004500_protein.pdb,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_004500/protein_group_004500_pocket_union.pdb,2,1,175,96,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_004500/source_sample_ids.txt,template
protein_group_004501,PDBbind2020:2j9l:accepted_dominant_chain,2j9l,PDBbind2020,accepted_dominant_chain,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_004501/protein_group_004501_protein.pdb,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_004501/protein_group_004501_pocket_union.pdb,2,1,174,61,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_004501/source_sample_ids.txt,template
protein_group_004502,scPDB:4p0a_1:accepted,4p0a_1,scPDB,accepted,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_004502/protein_group_004502_protein.pdb,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_004502/protein_group_004502_pocket_union.pdb,2,1,174,52,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_004502/source_sample_ids.txt,template
protein_group_004503,PDBbind2020:5e0m:accepted_pseudo_chainA,5e0m,PDBbind2020,accepted_pseudo_chainA,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_004503/protein_group_004503_protein.pdb,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_004503/protein_group_004503_pocket_union.pdb,2,1,174,81,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_004503/source_sample_ids.txt,template
protein_group_004504,scPDB:2z0y_2:accepted_dominant_chain,2z0y_2,scPDB,accepted_dominant_chain,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_004504/protein_group_004504_protein.pdb,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_004504/protein_group_004504_pocket_union.pdb,2,1,174,27,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_004504/source_sample_ids.txt,template
protein_group_004505,PDBbind2020:1n0s:accepted,1n0s,PDBbind2020,accepted,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_004505/protein_group_004505_protein.pdb,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_004505/protein_group_004505_pocket_union.pdb,2,1,173,88,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_004505/source_sample_ids.txt,template
protein_group_004506,scPDB:3dsz_2:accepted,3dsz_2,scPDB,accepted,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_004506/protein_group_004506_protein.pdb,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_004506/protein_group_004506_pocket_union.pdb,2,1,173,86,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_004506/source_sample_ids.txt,template
protein_group_004507,PDBbind2020:4wq3:accepted,4wq3,PDBbind2020,accepted,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_004507/protein_group_004507_protein.pdb,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_004507/protein_group_004507_pocket_union.pdb,2,1,173,65,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_004507/source_sample_ids.txt,template
protein_group_004508,scPDB:1lhv_1:accepted,1lhv_1,scPDB,accepted,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_004508/protein_group_004508_protein.pdb,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_004508/protein_group_004508_pocket_union.pdb,2,1,173,36,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_004508/source_sample_ids.txt,template
protein_group_004509,scPDB:1zc3_1:accepted,1zc3_1,scPDB,accepted,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_004509/protein_group_004509_protein.pdb,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_004509/protein_group_004509_pocket_union.pdb,2,1,173,35,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_004509/source_sample_ids.txt,template
protein_group_004510,PDBbind2020:2igv:accepted,2igv,PDBbind2020,accepted,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_004510/protein_group_004510_protein.pdb,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_004510/protein_group_004510_pocket_union.pdb,2,1,172,58,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_004510/source_sample_ids.txt,template
protein_group_004511,PDBbind2020:3me9:accepted,3me9,PDBbind2020,accepted,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_004511/protein_group_004511_protein.pdb,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_004511/protein_group_004511_pocket_union.pdb,2,1,172,72,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_004511/source_sample_ids.txt,template
protein_group_004512,PDBbind2020:4iax:accepted,4iax,PDBbind2020,accepted,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_004512/protein_group_004512_protein.pdb,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_004512/protein_group_004512_pocket_union.pdb,2,1,172,89,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_004512/source_sample_ids.txt,template
protein_group_004513,PDBbind2020:6fa4:accepted,6fa4,PDBbind2020,accepted,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_004513/protein_group_004513_protein.pdb,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_004513/protein_group_004513_pocket_union.pdb,2,1,172,54,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_004513/source_sample_ids.txt,template
protein_group_004514,PDBbind2020:3w9r:accepted,3w9r,PDBbind2020,accepted,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_004514/protein_group_004514_protein.pdb,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_004514/protein_group_004514_pocket_union.pdb,2,1,171,75,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_004514/source_sample_ids.txt,template
protein_group_004515,PDBbind2020:4wri:accepted,4wri,PDBbind2020,accepted,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_004515/protein_group_004515_protein.pdb,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_004515/protein_group_004515_pocket_union.pdb,2,1,171,118,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_004515/source_sample_ids.txt,template
protein_group_004516,PDBbind2020:5efa:accepted,5efa,PDBbind2020,accepted,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_004516/protein_group_004516_protein.pdb,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_004516/protein_group_004516_pocket_union.pdb,2,1,171,66,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_004516/source_sample_ids.txt,template
protein_group_004517,scPDB:3tq8_1:accepted,3tq8_1,scPDB,accepted,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_004517/protein_group_004517_protein.pdb,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_004517/protein_group_004517_pocket_union.pdb,2,2,171,54,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_004517/source_sample_ids.txt,template
protein_group_004518,PDBbind2020:1d2s:accepted,1d2s,PDBbind2020,accepted,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_004518/protein_group_004518_protein.pdb,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_004518/protein_group_004518_pocket_union.pdb,2,1,170,80,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_004518/source_sample_ids.txt,template
protein_group_004519,PDBbind2020:2wjg:accepted,2wjg,PDBbind2020,accepted,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_004519/protein_group_004519_protein.pdb,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_004519/protein_group_004519_pocket_union.pdb,2,1,170,66,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_004519/source_sample_ids.txt,template
